district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_std
62004,Ostpreußendamm,4475,4022,3301,58,93,140,1107,7,678.7391613361763,210.84776701391274,569.2682926829268,114.13172748851301,723.7368421052631,254.61764489614794,837.42,177.3649632934352,928.3093809523809,122.29313922639979,961.9784946236559,444.6593463710175
63005,Teltower Damm,4228,3702,3037,49,107,149,1062,6,681.6825095057035,222.96199265666843,526.3793103448276,138.59947788839597,687.1052631578947,143.4075385231305,778.4561403508771,216.43343336391965,1005.9793888888889,258.16175889253407,973.2857142857143,436.99723603082936
63006,Drakestraße,5189,4492,3625,58,164,156,1422,28,657.3851689612015,201.36110467996778,527.1538461538462,130.05313457877585,645.95,127.60381988202724,779.3529411764706,169.00586708773076,847.6823571428571,171.44689128562084,904.9918032786885,361.733669798849
64007,Zehlendorf Südwest,3661,3162,2556,30,120,164,697,2,714.5602322206096,230.153565522447,557.3529411764706,97.99613587820096,817.9607843137255,282.65172639022137,974.5897435897435,217.50072207366136,1060.2422222222222,146.04704329550617,1008.4774774774775,398.9567041181935
64008,Zehlendorf Nord,4577,4074,3339,65,142,175,1250,19,669.8235687981252,207.10957428488862,500.462962962963,100.97313540776118,682.9320388349514,156.7834313810178,772.054794520548,251.07645418228464,893.0456060606061,222.77952724624117,985.7388059701492,399.6209657001683
71001,Schöneberg Nordwest,4279,3990,3180,33,147,142,1690,54,595.9132634622334,194.44224252264365,514.5416666666666,126.30190854238617,546.3495145631068,119.63766446887017,692.4,151.724963820937,763.6773559322033,132.9480646481229,791.1650485436893,306.9577507201985
71002,Schöneberg Nordost,2373,2146,1745,19,106,120,993,23,582.2679147837314,178.8849539623486,491.2857142857143,79.80787369236637,553.1944444444445,114.36027071495094,692.9137931034483,122.21813752363401,738.66476,107.09167559357734,818.7010309278351,283.76134944073357
72003,Schöneberg Südwest,2340,2181,1712,27,63,96,1029,14,573.5094585779517,182.8018929278264,432.11764705882354,96.50380973887843,552.2888888888889,149.07085292544343,720.195652173913,213.67645526878223,729.4051999999999,161.1332115168778,868.418918918919,341.98978622723035
72004,Schöneberg Südost,3837,3502,2739,23,168,165,1718,47,553.471017430077,194.02333314015834,461.05263157894734,198.53812219549243,531.4485981308411,120.7286239249362,690.6020408163265,122.71404525566186,819.3915740740741,332.33304186202736,858.88,368.0066312516139
73005,Friedenau West,2283,2069,1645,17,92,122,894,27,584.9128345916266,192.65892171595254,467.45454545454544,117.15832333757908,590.640625,97.60193973929522,721.9705882352941,119.76917733062537,751.4490000000001,110.82540668095923,919.25,335.8373979989972
