planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
12500926,Wittenau Süd,372,361,223,4,6,5,201,0,157,0,552.2089552238806,506.0,186.94,432.0,390.0,104.53,392.0,392.0,,549.0,549.0,176.78,,,,762.4,618.0,426.24
12500927,Wittenau Nord,354,265,153,7,15,8,133,10,93,6,587.6842105263158,552.0,210.07,405.0,450.5,108.56,672.5714285714286,627.0,203.9,831.9090909090909,671.0,304.91,823.9639999999999,714.6155,212.67,747.3333333333334,738.0,115.56
12500928,Waidmannslust,153,143,80,1,7,3,73,1,53,0,568.5205479452055,528.0,157.62,438.0,438.0,,570.0,564.0,40.64,772.0,772.0,,917.517,917.517,,1029.5,1029.5,239.71
12500929,Lübars,150,141,84,0,5,4,76,0,27,0,747.5394736842105,703.0,214.86,,,,685.6666666666666,671.0,43.88,660.0,660.0,,,,,935.3333333333334,1003.0,236.86
12500930,Wittenau Mitte,358,339,195,4,9,9,169,5,109,5,603.9349112426036,564.0,208.26,269.0,269.0,,765.75,667.0,240.68,693.6,709.0,102.84,744.3728,776.974,92.55,947.125,849.5,468.52
12601031,Lübarser Straße,164,157,76,0,3,4,64,0,42,0,646.890625,573.0,259.47,,,,563.0,563.0,60.81,570.0,570.0,,,,,725.0,725.0,43.84
12601032,Rollbergesiedlung,261,242,144,0,8,11,127,1,70,1,662.6692913385826,625.0,177.94,,,,655.0,641.0,152.67,,,,627.98,627.98,,822.1818181818181,785.0,199.53
12601133,Treuenbrietzener Straße,443,421,247,6,14,8,217,3,108,3,679.6036866359447,653.0,169.29,528.3333333333334,544.0,51.33,625.5714285714286,583.0,176.07,992.5,992.5,62.93,821.561,837.033,58.2,828.0,791.0,150.78
12601134,Märkisches Zentrum,697,665,402,4,18,14,363,7,154,4,690.9476584022038,675.0,193.2,406.0,404.0,120.45,719.3333333333334,698.5,154.51,905.1428571428571,902.0,238.09,884.3245714285715,860.287,246.92,904.0833333333334,927.5,315.37
12601235,Dannenwalder Weg,314,302,170,2,5,7,148,0,88,0,636.7635135135135,608.0,198.92,,,,478.5,478.5,14.85,823.0,823.0,,,,,786.0,803.0,112.59
12601236,Schorfheidestraße,118,118,69,2,0,0,58,0,46,0,567.1724137931035,505.5,180.66,,,,,,,,,,,,,,,
