,mission_date,mission_type,dispatchcode_category,dispatchcode_criticality,mission_location_district,response_time,units_non_berlin_involed,units_several_involved,units_reinforcements_called,units_organisations,firstresponder_alarmed,firstresponder_indication,firstresponder_first_arrival,units_first_type,emergency_doctor_involved
174,2026-01-01,Rettungsdienst,01,C,Pankow,582.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
175,2026-01-01,Rettungsdienst,01,C,Steglitz-Zehlendorf,1047.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
176,2026-01-01,Rettungsdienst,01,C,Reinickendorf,632.0,False,False,False,ORG_DRK,False,False,False,RTW-C,False
177,2026-01-01,Rettungsdienst,01,C,Tempelhof-Schöneberg,731.0,False,False,False,ORG_JUH,False,False,False,RTW-B,False
178,2026-01-01,Rettungsdienst,01,C,Tempelhof-Schöneberg,984.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
179,2026-01-01,Rettungsdienst,01,C,Marzahn-Hellersdorf,702.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
180,2026-01-01,Rettungsdienst,01,C,Spandau,820.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
181,2026-01-01,Rettungsdienst,01,C,Lichtenberg,502.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
182,2026-01-01,Rettungsdienst,01,C,Marzahn-Hellersdorf,814.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
183,2026-01-01,Rettungsdienst,01,C,Treptow-Köpenick,836.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
184,2026-01-01,Rettungsdienst,01,C,Marzahn-Hellersdorf,,False,True,False,ORG_BFW,False,False,False,RTW,False
185,2026-01-01,Rettungsdienst,01,C,Lichtenberg,701.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
186,2026-01-01,Rettungsdienst,01,A,Mitte,717.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
187,2026-01-01,Rettungsdienst,01,A,Mitte,728.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
188,2026-01-01,Rettungsdienst,01,A,Tempelhof-Schöneberg,922.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
189,2026-01-01,Rettungsdienst,01,A,Tempelhof-Schöneberg,808.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
190,2026-01-01,Rettungsdienst,02,D,Treptow-Köpenick,,False,True,False,ORG_BFW,False,True,False,RTW,True
191,2026-01-01,Rettungsdienst,02,D,Friedrichshain-Kreuzberg,486.0,False,True,False,ORG_BFW,False,True,False,RTW-C,True
192,2026-01-01,Rettungsdienst,02,D,Pankow,585.0,False,True,False,ORG_BFW,False,True,False,RTW-C,True
193,2026-01-01,Rettungsdienst,02,C,Steglitz-Zehlendorf,764.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
194,2026-01-01,Rettungsdienst,02,C,Tempelhof-Schöneberg,1124.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
195,2026-01-01,Rettungsdienst,02,C,Steglitz-Zehlendorf,1086.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
196,2026-01-01,Rettungsdienst,02,C,Reinickendorf,366.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
197,2026-01-01,Rettungsdienst,02,C,Pankow,238.0,False,False,False,ORG_MHD,False,False,False,RTW-C,False
198,2026-01-01,Rettungsdienst,02,C,Steglitz-Zehlendorf,671.0,False,False,False,ORG_BFW,False,False,False,RTW-X,False
199,2026-01-01,Rettungsdienst,02,C,Spandau,691.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
200,2026-01-01,Rettungsdienst,02,C,Steglitz-Zehlendorf,704.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
201,2026-01-01,Rettungsdienst,02,C,Lichtenberg,748.0,False,True,True,"ORG_BFW, ORG_DRK",False,False,False,NEF,True
202,2026-01-01,Rettungsdienst,04,D,Neukölln,575.0,False,False,False,ORG_BFW,False,True,False,RTW-C,False
203,2026-01-01,Rettungsdienst,04,D,Charlottenburg-Wilmersdorf,393.0,False,False,False,ORG_MHD,False,True,False,RTW-C,False
204,2026-01-01,Rettungsdienst,04,D,Reinickendorf,606.0,False,False,False,ORG_BFW,False,True,False,RTW-C,False
205,2026-01-01,Rettungsdienst,04,D,Charlottenburg-Wilmersdorf,967.0,False,False,False,ORG_MHD,False,True,False,RTW-C,False
206,2026-01-01,Rettungsdienst,04,D,Marzahn-Hellersdorf,597.0,False,True,False,ORG_BFW,False,True,False,RTW-C,True
207,2026-01-01,Rettungsdienst,04,D,Neukölln,531.0,False,False,False,ORG_BFW,False,True,False,RTW-C,False
208,2026-01-01,Rettungsdienst,04,D,Spandau,525.0,False,False,False,ORG_DRK,False,False,False,RTW-C,False
209,2026-01-01,Rettungsdienst,04,D,Lichtenberg,,False,False,False,ORG_BFW,False,True,False,RTW-C,False
210,2026-01-01,Rettungsdienst,04,D,Lichtenberg,694.0,False,False,False,ORG_BFW,False,True,False,RTW-C,False
211,2026-01-01,Rettungsdienst,04,D,Spandau,493.0,False,True,False,ORG_BFW,True,True,True,LHF,False
212,2026-01-01,Rettungsdienst,04,D,Friedrichshain-Kreuzberg,508.0,False,True,False,"ORG_MHD, ORG_ASB",False,False,False,RTW-C,False
213,2026-01-01,Rettungsdienst,04,D,Mitte,463.0,False,False,False,ORG_BW,False,False,False,RTW-BW,False
214,2026-01-01,Rettungsdienst,04,D,Marzahn-Hellersdorf,1037.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
215,2026-01-01,Rettungsdienst,04,D,Pankow,652.0,False,False,False,ORG_BFW,False,True,False,RTW-C,False
216,2026-01-01,Rettungsdienst,04,B,Pankow,620.0,False,False,False,ORG_MHD,False,True,False,RTW-C,False
217,2026-01-01,Rettungsdienst,04,B,Marzahn-Hellersdorf,,False,True,True,"ORG_BFW, ORG_ASB",False,False,False,NEF,True
218,2026-01-01,Rettungsdienst,04,B,Reinickendorf,702.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
